nombre,Fecha,data
x2,28/02/2011,0.69
x2,01/03/2011,56.84
x2,02/03/2011,26.49
x2,03/03/2011,5.21
x2,04/03/2011,6.33
x2,05/03/2011,2.93
x2,06/03/2011,19.31
x2,07/03/2011,10.08
x2,08/03/2011,5.15
x2,09/03/2011,13.57
x2,10/03/2011,41.9
x2,11/03/2011,32.58
x2,12/03/2011,19.87
x2,13/03/2011,12.04
x2,14/03/2011,5.43
x2,15/03/2011,8.24
x2,16/03/2011,5.54
x2,17/03/2011,12.77
x2,18/03/2011,-4.33
x2,19/03/2011,11.54
x2,20/03/2011,6.2
x2,21/03/2011,10.04
x2,22/03/2011,-6.37
x2,23/03/2011,7.94
x2,24/03/2011,1.32
x2,25/03/2011,19.77
x2,26/03/2011,-4.44
x2,27/03/2011,11.08
x2,28/03/2011,-2.44
x2,29/03/2011,16.85
x2,30/03/2011,-1.89
x2,31/03/2011,4.76
x2,01/04/2011,-6.08
x2,02/04/2011,16.31
x2,03/04/2011,-5.44
x2,04/04/2011,17.48
x2,05/04/2011,14.71
x2,06/04/2011,10.06
x2,07/04/2011,1.99
x2,08/04/2011,7.14
x2,09/04/2011,1.49
x2,10/04/2011,12.72
x2,11/04/2011,-0.49
x2,12/04/2011,-5.43
x2,13/04/2011,0.41
x2,14/04/2011,11.57
x2,15/04/2011,8.01
x2,16/04/2011,9.85
x2,17/04/2011,4.22
x2,18/04/2011,-2.65
x2,19/04/2011,0.27
x2,20/04/2011,-5.33
x2,21/04/2011,3.43
x2,22/04/2011,20.01
x2,23/04/2011,-4.3
x2,24/04/2011,0.55
x2,25/04/2011,2.33
x2,26/04/2011,9.3
x2,27/04/2011,5.35
x2,28/04/2011,-12.25
x2,29/04/2011,5.9
x2,30/04/2011,3.66
x2,01/05/2011,10.15
x2,02/05/2011,0.16
x2,03/05/2011,30.48
x2,04/05/2011,18.42
x2,05/05/2011,5.69
x2,06/05/2011,9.86
x2,07/05/2011,11.75
x2,08/05/2011,3.41
x2,09/05/2011,6.3
x2,10/05/2011,12.76
x2,11/05/2011,-2.17
x2,12/05/2011,4.93
x2,13/05/2011,-1.23
x2,14/05/2011,14.1
x2,15/05/2011,1.92
x2,16/05/2011,1.98
x2,17/05/2011,0.37
x2,18/05/2011,4.52
x2,19/05/2011,1.94
x2,20/05/2011,4.01
x2,21/05/2011,5.78
x2,22/05/2011,1.61
x2,23/05/2011,-4.64
x2,24/05/2011,3.67
x2,25/05/2011,14.03
x2,26/05/2011,0.46
x2,27/05/2011,0.28
x2,28/05/2011,5.93
x2,29/05/2011,-2.17
x2,30/05/2011,-1.62
x2,31/05/2011,5.81
x2,01/06/2011,6.33
x2,02/06/2011,4.29
x2,03/06/2011,-11.39
x2,04/06/2011,13.9
x2,05/06/2011,-2.44
x2,06/06/2011,2.58
x2,07/06/2011,0.7
x2,08/06/2011,3.81
x2,09/06/2011,-5.6
x2,10/06/2011,10.75
x2,11/06/2011,6.67
x2,12/06/2011,1.76
x2,13/06/2011,3.95
x2,14/06/2011,-22.01
x2,15/06/2011,13.69
x2,16/06/2011,16.86
x2,17/06/2011,-3.82
x2,18/06/2011,10.16
x2,19/06/2011,6.01
x2,20/06/2011,-5.82
x2,21/06/2011,5.84
x2,22/06/2011,15.5
x2,23/06/2011,5.43
x2,24/06/2011,1.09
x2,25/06/2011,13.84
x2,26/06/2011,13.34
x2,27/06/2011,32.1
x2,28/06/2011,15.53
x2,29/06/2011,6.41
x2,30/06/2011,42.92
x2,01/07/2011,39.04
x2,02/07/2011,43.7
x2,03/07/2011,30.02
